apkname,security_score,target_sdk,min_sdk,average_cvss,host_os,virus_total
keepclean-booster-antivirus-battery-saver_4.2.6.apk,10,29,19,6.5,windows,None
douglas-\xe2\x80\x93-parf\xc3\xbcm-kosmetik_9.0.2.apk,10,29,22,6.5,windows,None
veryfitpro_3.2.8.apk,10,29,19,6.5,windows,None
kostenlose-frohe-ostern-bilder-und-spr\xc3\xbcche-2021_1.1.apk,55,29,16,6.6,windows,None
autodoc-\xe2\x80\x94-auto-parts-at-low-prices-online_1.8.6.apk,10,30,21,6.4,windows,None
screen-mirroring-cast-to-tv-castto_2.4.6.apk,60,29,17,6.0,windows,None
shein-fashion-shopping-online_7.5.2.apk,10,29,21,6.2,windows,None
vova_2.111.0.apk,10,29,17,6.6,windows,None
google-play-games_2021.02.24918 (362299421.362299421-000408).apk,5,30,16,6.6,windows,None
weather-forecast_71.apk,25,29,16,6.9,windows,None
amazon-alexa_2.2.394437.0.apk,10,29,23,6.5,windows,None
amazon-shopping-search-find-ship-and-save_22.7.0.100.apk,10,29,24,6.5,windows,None
sticker-maker_0.0.3-5.apk,10,29,16,6.6,windows,None
duolingo-learn-languages-free_5.3.4.apk,10,29,22,6.2,windows,None
talking-angela_3.1.0.14.apk,10,29,19,6.2,windows,None
ebay-buy-and-sell-on-your-favorite-marketplace_6.13.0.8.apk,10,29,24,6.5,windows,None
picturethis-identify-plant-flower-weed-and-more_2.11.apk,10,29,21,6.3,windows,None
hype-simulator_3.1.3.apk,35,29,21,6.2,windows,None
move-to-ios_3.1.1.apk,65,30,19,6.3,windows,None
toonme-cartoon-yourself-photo-editor_0.5.26.apk,10,29,21,6.5,windows,None
audible-audiobooks-podcasts-audio-stories_3.2.0.apk,10,29,23,6.5,windows,None
hp-smart_8.4.70.apk,10,29,24,6.2,windows,None
